Month,Day of Week,Portion of Day,Purpose,Start Location Type,End Location Type,Total Commutes
March,Wednesday,Night,Eating,Unknown,Restaurant,80
March,Wednesday,Night,Eating,Home,Restaurant,1072
March,Wednesday,Night,Coming Back From Restaurant,Restaurant,Pub,804
March,Wednesday,Night,Coming Back From Restaurant,Restaurant,Home,1222
March,Wednesday,Night,Coming Back From Restaurant,Restaurant,Work,5
March,Wednesday,Night,Coming Back From Restaurant,Restaurant,Unknown,84
March,Wednesday,Night,Recreation (Social Gathering),Home,Pub,4620
March,Wednesday,Night,Work/Home Commute,Work,Home,26
March,Thursday,Morning,Eating,Unknown,Restaurant,127
March,Thursday,Morning,Eating,Pub,Restaurant,35
March,Thursday,Morning,Eating,Home,Restaurant,191
March,Thursday,Morning,Eating,Work,Restaurant,1057
March,Thursday,Morning,Going Back to Home,Pub,Home,847
March,Thursday,Morning,Going Back to Home,Restaurant,Home,19
March,Thursday,Morning,Going Back to Home,Restaurant,Unknown,2
March,Thursday,Morning,Recreation (Social Gathering),Home,Pub,370
March,Thursday,Morning,Coming Back From Restaurant,Restaurant,Pub,28
March,Thursday,Morning,Coming Back From Restaurant,Restaurant,Home,185
March,Thursday,Morning,Coming Back From Restaurant,Restaurant,Unknown,13
March,Thursday,Morning,Coming Back From Restaurant,Restaurant,Work,511
March,Thursday,Morning,Work/Home Commute,Unknown,Work,20
March,Thursday,Morning,Work/Home Commute,Home,Work,8415
March,Thursday,Morning,Work/Home Commute,Restaurant,Work,113
March,Thursday,Afternoon,Going Back to Home,Pub,Home,110
March,Thursday,Afternoon,Eating,Work,Restaurant,3389
March,Thursday,Afternoon,Eating,Home,Restaurant,44
March,Thursday,Afternoon,Eating,Pub,Restaurant,26
March,Thursday,Afternoon,Eating,Unknown,Restaurant,2
March,Thursday,Afternoon,Recreation (Social Gathering),Home,Pub,117
March,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Home,44
March,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,24
March,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Work,3329
March,Thursday,Afternoon,Coming Back From Restaurant,Restaurant,Unknown,2
March,Thursday,Evening,Going Back to Home,Pub,Home,398
March,Thursday,Evening,Eating,Work,Restaurant,2290
March,Thursday,Evening,Eating,Home,Restaurant,768
March,Thursday,Evening,Eating,Unknown,Restaurant,28
March,Thursday,Evening,Eating,Pub,Restaurant,196
March,Thursday,Evening,Coming Back From Restaurant,Restaurant,Pub,105
March,Thursday,Evening,Coming Back From Restaurant,Restaurant,Work,2893
March,Thursday,Evening,Coming Back From Restaurant,Restaurant,Home,526
March,Thursday,Evening,Coming Back From Restaurant,Restaurant,Unknown,15
March,Thursday,Evening,Work/Home Commute,Work,Home,8401
March,Thursday,Evening,Work/Home Commute,Work,Unknown,119
March,Thursday,Evening,Recreation (Social Gathering),Home,Pub,2691
March,Thursday,Night,Going Back to Home,Pub,Home,6440
March,Thursday,Night,Going Back to Home,Restaurant,Home,115
March,Thursday,Night,Going Back to Home,Restaurant,Unknown,5
March,Thursday,Night,Eating,Pub,Restaurant,793
March,Thursday,Night,Eating,Unknown,Restaurant,82
March,Thursday,Night,Eating,Home,Restaurant,1090
March,Thursday,Night,Coming Back From Restaurant,Restaurant,Home,1263
March,Thursday,Night,Coming Back From Restaurant,Restaurant,Pub,833
March,Thursday,Night,Coming Back From Restaurant,Restaurant,Unknown,87
March,Thursday,Night,Coming Back From Restaurant,Restaurant,Work,3
March,Thursday,Night,Recreation (Social Gathering),Home,Pub,4686
March,Thursday,Night,Work/Home Commute,Work,Home,25
March,Thursday,Night,Work/Home Commute,Work,Unknown,3
March,Friday,Morning,Eating,Home,Restaurant,172
March,Friday,Morning,Eating,Unknown,Restaurant,131
March,Friday,Morning,Eating,Work,Restaurant,958
March,Friday,Morning,Eating,Pub,Restaurant,14
March,Friday,Morning,Coming Back From Restaurant,Restaurant,Pub,11
March,Friday,Morning,Coming Back From Restaurant,Restaurant,Home,174
March,Friday,Morning,Coming Back From Restaurant,Restaurant,Unknown,8
March,Friday,Morning,Coming Back From Restaurant,Restaurant,Work,465
March,Friday,Morning,Recreation (Social Gathering),Home,Pub,288
March,Friday,Morning,Going Back to Home,Pub,Home,735
March,Friday,Morning,Going Back to Home,Restaurant,Unknown,4
March,Friday,Morning,Going Back to Home,Restaurant,Home,12
March,Friday,Morning,Work/Home Commute,Home,Work,7605
March,Friday,Morning,Work/Home Commute,Unknown,Work,4
March,Friday,Morning,Work/Home Commute,Restaurant,Work,122
March,Friday,Afternoon,Eating,Work,Restaurant,3031
March,Friday,Afternoon,Eating,Pub,Restaurant,25
March,Friday,Afternoon,Eating,Home,Restaurant,39
March,Friday,Afternoon,Eating,Unknown,Restaurant,1
March,Friday,Afternoon,Going Back to Home,Pub,Home,90
March,Friday,Afternoon,Recreation (Social Gathering),Home,Pub,82
March,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,19
March,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Work,2952
March,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Home,31
March,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Unknown,1
March,Friday,Evening,Going Back to Home,Pub,Home,345
March,Friday,Evening,Eating,Work,Restaurant,2106
March,Friday,Evening,Eating,Pub,Restaurant,181
March,Friday,Evening,Eating,Home,Restaurant,637
March,Friday,Evening,Eating,Unknown,Restaurant,21
March,Friday,Evening,Coming Back From Restaurant,Restaurant,Home,432
March,Friday,Evening,Coming Back From Restaurant,Restaurant,Pub,99
March,Friday,Evening,Coming Back From Restaurant,Restaurant,Work,2674
March,Friday,Evening,Coming Back From Restaurant,Restaurant,Unknown,11
March,Friday,Evening,Work/Home Commute,Work,Home,7582
March,Friday,Evening,Work/Home Commute,Work,Unknown,124
March,Friday,Evening,Recreation (Social Gathering),Home,Pub,2345
March,Friday,Night,Going Back to Home,Pub,Home,5583
March,Friday,Night,Going Back to Home,Restaurant,Unknown,5
March,Friday,Night,Going Back to Home,Restaurant,Home,114
March,Friday,Night,Work/Home Commute,Work,Home,23
March,Friday,Night,Work/Home Commute,Work,Unknown,1
March,Friday,Night,Coming Back From Restaurant,Restaurant,Pub,665
March,Friday,Night,Coming Back From Restaurant,Restaurant,Home,1171
March,Friday,Night,Coming Back From Restaurant,Restaurant,Work,4
March,Friday,Night,Coming Back From Restaurant,Restaurant,Unknown,51
March,Friday,Night,Eating,Pub,Restaurant,616
March,Friday,Night,Eating,Home,Restaurant,1042
March,Friday,Night,Eating,Unknown,Restaurant,84
March,Friday,Night,Recreation (Social Gathering),Home,Pub,4122
March,Saturday,Morning,Eating,Unknown,Restaurant,3
March,Saturday,Morning,Eating,Home,Restaurant,3405
March,Saturday,Morning,Eating,Pub,Restaurant,128
March,Saturday,Morning,Eating,Work,Restaurant,141
March,Saturday,Morning,Recreation (Social Gathering),Home,Pub,5401
March,Saturday,Morning,Going Back to Home,Pub,Home,3972
March,Saturday,Morning,Going Back to Home,Restaurant,Home,163
March,Saturday,Morning,Going Back to Home,Restaurant,Unknown,4
March,Saturday,Morning,Coming Back From Restaurant,Restaurant,Home,3176
March,Saturday,Morning,Coming Back From Restaurant,Restaurant,Pub,58
March,Saturday,Morning,Coming Back From Restaurant,Restaurant,Work,90
March,Saturday,Morning,Work/Home Commute,Home,Work,852
March,Saturday,Afternoon,Going Back to Home,Pub,Home,1748
March,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Home,659
March,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,341
March,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Work,283
March,Saturday,Afternoon,Eating,Pub,Restaurant,388
March,Saturday,Afternoon,Eating,Home,Restaurant,797
March,Saturday,Afternoon,Eating,Work,Restaurant,280
March,Saturday,Afternoon,Recreation (Social Gathering),Home,Pub,1663
March,Saturday,Evening,Going Back to Home,Pub,Home,3467
March,Saturday,Evening,Recreation (Social Gathering),Home,Pub,3621
March,Saturday,Evening,Coming Back From Restaurant,Restaurant,Home,1205
March,Saturday,Evening,Coming Back From Restaurant,Restaurant,Pub,487
March,Saturday,Evening,Coming Back From Restaurant,Restaurant,Work,259
March,Saturday,Evening,Eating,Home,Restaurant,1152
March,Saturday,Evening,Eating,Pub,Restaurant,439
March,Saturday,Evening,Eating,Work,Restaurant,211
March,Saturday,Evening,Work/Home Commute,Work,Home,852
March,Saturday,Night,Going Back to Home,Pub,Home,5182
March,Saturday,Night,Going Back to Home,Restaurant,Home,94
March,Saturday,Night,Coming Back From Restaurant,Restaurant,Home,991
March,Saturday,Night,Coming Back From Restaurant,Restaurant,Pub,537
March,Saturday,Night,Recreation (Social Gathering),Home,Pub,3623
March,Saturday,Night,Eating,Pub,Restaurant,514
March,Saturday,Night,Eating,Home,Restaurant,898
March,Sunday,Morning,Eating,Home,Restaurant,3515
March,Sunday,Morning,Eating,Work,Restaurant,120
March,Sunday,Morning,Eating,Pub,Restaurant,93
March,Sunday,Morning,Recreation (Social Gathering),Home,Pub,4662
March,Sunday,Morning,Going Back to Home,Pub,Home,3428
March,Sunday,Morning,Going Back to Home,Restaurant,Home,162
March,Sunday,Morning,Coming Back From Restaurant,Restaurant,Home,3267
March,Sunday,Morning,Coming Back From Restaurant,Restaurant,Pub,47
March,Sunday,Morning,Coming Back From Restaurant,Restaurant,Work,86
March,Sunday,Morning,Work/Home Commute,Home,Work,832
March,Sunday,Afternoon,Going Back to Home,Pub,Home,1484
March,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,269
March,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Home,740
March,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Work,264
March,Sunday,Afternoon,Eating,Pub,Restaurant,339
March,Sunday,Afternoon,Eating,Work,Restaurant,302
March,Sunday,Afternoon,Eating,Home,Restaurant,902
March,Sunday,Afternoon,Recreation (Social Gathering),Home,Pub,1443
March,Sunday,Evening,Going Back to Home,Pub,Home,2912
March,Sunday,Evening,Coming Back From Restaurant,Restaurant,Home,1342
March,Sunday,Evening,Coming Back From Restaurant,Restaurant,Pub,460
March,Sunday,Evening,Coming Back From Restaurant,Restaurant,Work,277
March,Sunday,Evening,Eating,Work,Restaurant,205
March,Sunday,Evening,Eating,Home,Restaurant,1218
March,Sunday,Evening,Eating,Pub,Restaurant,404
March,Sunday,Evening,Recreation (Social Gathering),Home,Pub,3119
March,Sunday,Evening,Work/Home Commute,Work,Home,824
March,Sunday,Night,Going Back to Home,Pub,Home,4594
March,Sunday,Night,Going Back to Home,Restaurant,Home,80
March,Sunday,Night,Coming Back From Restaurant,Restaurant,Pub,495
March,Sunday,Night,Coming Back From Restaurant,Restaurant,Home,1041
March,Sunday,Night,Eating,Pub,Restaurant,472
March,Sunday,Night,Eating,Home,Restaurant,959
March,Sunday,Night,Recreation (Social Gathering),Home,Pub,3164
March,Sunday,Night,Work/Home Commute,Work,Home,8
March,Monday,Morning,Eating,Home,Restaurant,217
March,Monday,Morning,Eating,Work,Restaurant,870
March,Monday,Morning,Eating,Pub,Restaurant,6
March,Monday,Morning,Coming Back From Restaurant,Restaurant,Pub,7
March,Monday,Morning,Coming Back From Restaurant,Restaurant,Home,212
March,Monday,Morning,Coming Back From Restaurant,Restaurant,Work,452
March,Monday,Morning,Recreation (Social Gathering),Home,Pub,318
March,Monday,Morning,Going Back to Home,Pub,Home,576
March,Monday,Morning,Going Back to Home,Restaurant,Home,19
March,Monday,Morning,Work/Home Commute,Home,Work,6672
March,Monday,Afternoon,Eating,Work,Restaurant,2627
March,Monday,Afternoon,Eating,Pub,Restaurant,29
March,Monday,Afternoon,Eating,Home,Restaurant,36
March,Monday,Afternoon,Going Back to Home,Pub,Home,109
March,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,27
March,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Work,2590
March,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Home,35
March,Monday,Afternoon,Recreation (Social Gathering),Home,Pub,108
March,Monday,Evening,Going Back to Home,Pub,Home,344
March,Monday,Evening,Eating,Work,Restaurant,1781
March,Monday,Evening,Eating,Pub,Restaurant,135
March,Monday,Evening,Eating,Home,Restaurant,617
March,Monday,Evening,Coming Back From Restaurant,Restaurant,Pub,91
March,Monday,Evening,Coming Back From Restaurant,Restaurant,Work,2232
March,Monday,Evening,Coming Back From Restaurant,Restaurant,Home,408
March,Monday,Evening,Work/Home Commute,Work,Home,6659
March,Monday,Evening,Recreation (Social Gathering),Home,Pub,1787
March,Monday,Night,Going Back to Home,Pub,Home,4132
March,Monday,Night,Going Back to Home,Restaurant,Home,92
March,Monday,Night,Coming Back From Restaurant,Restaurant,Pub,482
March,Monday,Night,Coming Back From Restaurant,Restaurant,Work,4
March,Monday,Night,Coming Back From Restaurant,Restaurant,Home,1079
March,Monday,Night,Eating,Pub,Restaurant,474
March,Monday,Night,Eating,Home,Restaurant,934
March,Monday,Night,Recreation (Social Gathering),Home,Pub,2978
March,Monday,Night,Work/Home Commute,Work,Home,13
April,Friday,Morning,Recreation (Social Gathering),Home,Pub,233
April,Friday,Morning,Eating,Home,Restaurant,169
April,Friday,Morning,Eating,Work,Restaurant,931
April,Friday,Morning,Eating,Pub,Restaurant,20
April,Friday,Morning,Coming Back From Restaurant,Restaurant,Home,166
April,Friday,Morning,Coming Back From Restaurant,Restaurant,Work,455
April,Friday,Morning,Coming Back From Restaurant,Restaurant,Pub,14
April,Friday,Morning,Going Back to Home,Pub,Home,514
April,Friday,Morning,Going Back to Home,Restaurant,Home,19
April,Friday,Morning,Work/Home Commute,Home,Work,7605
April,Friday,Afternoon,Eating,Work,Restaurant,2980
April,Friday,Afternoon,Eating,Home,Restaurant,56
April,Friday,Afternoon,Eating,Pub,Restaurant,13
April,Friday,Afternoon,Going Back to Home,Pub,Home,75
April,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,8
April,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Home,51
April,Friday,Afternoon,Coming Back From Restaurant,Restaurant,Work,2899
April,Friday,Afternoon,Recreation (Social Gathering),Home,Pub,58
April,Friday,Evening,Eating,Work,Restaurant,2068
April,Friday,Evening,Eating,Pub,Restaurant,148
April,Friday,Evening,Eating,Home,Restaurant,715
April,Friday,Evening,Going Back to Home,Pub,Home,280
April,Friday,Evening,Coming Back From Restaurant,Restaurant,Pub,75
April,Friday,Evening,Coming Back From Restaurant,Restaurant,Work,2623
April,Friday,Evening,Coming Back From Restaurant,Restaurant,Home,470
April,Friday,Evening,Work/Home Commute,Work,Home,7583
April,Friday,Evening,Recreation (Social Gathering),Home,Pub,1849
April,Friday,Night,Going Back to Home,Pub,Home,4399
April,Friday,Night,Going Back to Home,Restaurant,Home,115
April,Friday,Night,Coming Back From Restaurant,Restaurant,Pub,563
April,Friday,Night,Coming Back From Restaurant,Restaurant,Home,1284
April,Friday,Night,Coming Back From Restaurant,Restaurant,Work,2
April,Friday,Night,Eating,Home,Restaurant,1117
April,Friday,Night,Eating,Pub,Restaurant,526
April,Friday,Night,Recreation (Social Gathering),Home,Pub,3198
April,Friday,Night,Work/Home Commute,Work,Home,22
April,Saturday,Morning,Eating,Home,Restaurant,4312
April,Saturday,Morning,Eating,Work,Restaurant,174
April,Saturday,Morning,Eating,Pub,Restaurant,148
April,Saturday,Morning,Recreation (Social Gathering),Home,Pub,5105
April,Saturday,Morning,Coming Back From Restaurant,Restaurant,Home,4006
April,Saturday,Morning,Coming Back From Restaurant,Restaurant,Pub,70
April,Saturday,Morning,Coming Back From Restaurant,Restaurant,Work,111
April,Saturday,Morning,Going Back to Home,Pub,Home,3685
April,Saturday,Morning,Going Back to Home,Restaurant,Home,200
April,Saturday,Morning,Work/Home Commute,Home,Work,1069
April,Saturday,Afternoon,Going Back to Home,Pub,Home,1660
April,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Home,899
April,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,355
April,Saturday,Afternoon,Coming Back From Restaurant,Restaurant,Work,353
April,Saturday,Afternoon,Eating,Pub,Restaurant,366
April,Saturday,Afternoon,Eating,Home,Restaurant,1160
April,Saturday,Afternoon,Eating,Work,Restaurant,350
April,Saturday,Afternoon,Recreation (Social Gathering),Home,Pub,1612
April,Saturday,Evening,Going Back to Home,Pub,Home,3197
April,Saturday,Evening,Eating,Home,Restaurant,1623
April,Saturday,Evening,Eating,Work,Restaurant,273
April,Saturday,Evening,Eating,Pub,Restaurant,443
April,Saturday,Evening,Coming Back From Restaurant,Restaurant,Pub,460
April,Saturday,Evening,Coming Back From Restaurant,Restaurant,Home,1802
April,Saturday,Evening,Coming Back From Restaurant,Restaurant,Work,333
April,Saturday,Evening,Recreation (Social Gathering),Home,Pub,3336
April,Saturday,Evening,Work/Home Commute,Work,Home,1069
April,Saturday,Night,Going Back to Home,Pub,Home,4853
April,Saturday,Night,Going Back to Home,Restaurant,Home,115
April,Saturday,Night,Coming Back From Restaurant,Restaurant,Home,1370
April,Saturday,Night,Coming Back From Restaurant,Restaurant,Pub,494
April,Saturday,Night,Eating,Home,Restaurant,1282
April,Saturday,Night,Eating,Pub,Restaurant,455
April,Saturday,Night,Recreation (Social Gathering),Home,Pub,3315
April,Sunday,Morning,Eating,Home,Restaurant,4000
April,Sunday,Morning,Eating,Work,Restaurant,133
April,Sunday,Morning,Eating,Pub,Restaurant,69
April,Sunday,Morning,Recreation (Social Gathering),Home,Pub,4141
April,Sunday,Morning,Coming Back From Restaurant,Restaurant,Home,3708
April,Sunday,Morning,Coming Back From Restaurant,Restaurant,Pub,39
April,Sunday,Morning,Coming Back From Restaurant,Restaurant,Work,94
April,Sunday,Morning,Going Back to Home,Pub,Home,3023
April,Sunday,Morning,Going Back to Home,Restaurant,Home,190
April,Sunday,Morning,Work/Home Commute,Home,Work,936
April,Sunday,Afternoon,Going Back to Home,Pub,Home,1256
April,Sunday,Afternoon,Eating,Pub,Restaurant,289
April,Sunday,Afternoon,Eating,Home,Restaurant,1071
April,Sunday,Afternoon,Eating,Work,Restaurant,341
April,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,245
April,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Home,905
April,Sunday,Afternoon,Coming Back From Restaurant,Restaurant,Work,299
April,Sunday,Afternoon,Recreation (Social Gathering),Home,Pub,1223
April,Sunday,Evening,Going Back to Home,Pub,Home,2544
April,Sunday,Evening,Eating,Home,Restaurant,1493
April,Sunday,Evening,Eating,Work,Restaurant,230
April,Sunday,Evening,Eating,Pub,Restaurant,389
April,Sunday,Evening,Coming Back From Restaurant,Restaurant,Pub,403
April,Sunday,Evening,Coming Back From Restaurant,Restaurant,Home,1585
April,Sunday,Evening,Coming Back From Restaurant,Restaurant,Work,311
April,Sunday,Evening,Recreation (Social Gathering),Home,Pub,2702
April,Sunday,Evening,Work/Home Commute,Work,Home,926
April,Sunday,Night,Going Back to Home,Pub,Home,3968
April,Sunday,Night,Going Back to Home,Restaurant,Home,109
April,Sunday,Night,Eating,Pub,Restaurant,401
April,Sunday,Night,Eating,Home,Restaurant,1226
April,Sunday,Night,Coming Back From Restaurant,Restaurant,Home,1327
April,Sunday,Night,Coming Back From Restaurant,Restaurant,Pub,429
April,Sunday,Night,Recreation (Social Gathering),Home,Pub,2739
April,Sunday,Night,Work/Home Commute,Work,Home,10
April,Monday,Morning,Eating,Home,Restaurant,219
April,Monday,Morning,Eating,Work,Restaurant,866
April,Monday,Morning,Eating,Pub,Restaurant,3
April,Monday,Morning,Recreation (Social Gathering),Home,Pub,254
April,Monday,Morning,Going Back to Home,Pub,Home,457
April,Monday,Morning,Going Back to Home,Restaurant,Home,22
April,Monday,Morning,Coming Back From Restaurant,Restaurant,Home,215
April,Monday,Morning,Coming Back From Restaurant,Restaurant,Work,447
April,Monday,Morning,Coming Back From Restaurant,Restaurant,Pub,6
April,Monday,Morning,Work/Home Commute,Home,Work,6672
April,Monday,Afternoon,Eating,Work,Restaurant,2638
April,Monday,Afternoon,Eating,Home,Restaurant,43
April,Monday,Afternoon,Eating,Pub,Restaurant,29
April,Monday,Afternoon,Going Back to Home,Pub,Home,82
April,Monday,Afternoon,Recreation (Social Gathering),Home,Pub,89
April,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Pub,18
April,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Work,2601
April,Monday,Afternoon,Coming Back From Restaurant,Restaurant,Home,30
April,Monday,Evening,Going Back to Home,Pub,Home,271
April,Monday,Evening,Eating,Work,Restaurant,1776
April,Monday,Evening,Eating,Pub,Restaurant,116
April,Monday,Evening,Eating,Home,Restaurant,668
April,Monday,Evening,Coming Back From Restaurant,Restaurant,Pub,72
April,Monday,Evening,Coming Back From Restaurant,Restaurant,Work,2230
April,Monday,Evening,Coming Back From Restaurant,Restaurant,Home,470
April,Monday,Evening,Work/Home Commute,Work,Home,6662
April,Monday,Evening,Recreation (Social Gathering),Home,Pub,1420
April,Monday,Night,Eating,Pub,Restaurant,382
April,Monday,Night,Eating,Home,Restaurant,1035
April,Monday,Night,Going Back to Home,Pub,Home,3264
April,Monday,Night,Going Back to Home,Restaurant,Home,104
April,Monday,Night,Coming Back From Restaurant,Restaurant,Pub,408
April,Monday,Night,Coming Back From Restaurant,Restaurant,Home,1159
April,Monday,Night,Coming Back From Restaurant,Restaurant,Work,2
April,Monday,Night,Recreation (Social Gathering),Home,Pub,2368
April,Monday,Night,Work/Home Commute,Work,Home,10
April,Tuesday,Morning,Eating,Home,Restaurant,219
April,Tuesday,Morning,Eating,Work,Restaurant,838
April,Tuesday,Morning,Eating,Pub,Restaurant,7
April,Tuesday,Morning,Recreation (Social Gathering),Home,Pub,227
April,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Pub,9
April,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Home,208
April,Tuesday,Morning,Coming Back From Restaurant,Restaurant,Work,403
April,Tuesday,Morning,Work/Home Commute,Home,Work,6680
